# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,ZAXWQEUVZC,0,0,1,9.988592466663794855e-01, 0.000000000000000000e+00, -4.775149577838204429e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.775149577838204429e-02, 0.000000000000000000e+00, 9.988592466663794855e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,26,33
# x,y,z,u,w
3.995436986665517942e+00, 0.000000000000000000e+00, -1.910059831135281772e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
3.918734237150156119e+00, 0.000000000000000000e+00, -1.961910099605776725e-01, 0.000000000000000000e+00, 4.173311976788848798e-02
3.808492169081108436e+00, 0.000000000000000000e+00, -2.033426962747338917e-01, 0.000000000000000000e+00, 9.595583006934514658e-02
3.653318102500155540e+00, 0.000000000000000000e+00, -2.128253326054762029e-01, 0.000000000000000000e+00, 1.722603643809275942e-01
3.441199912098741098e+00, 0.000000000000000000e+00, -2.247271605434468800e-01, 0.000000000000000000e+00, 2.765358755368439447e-01
3.162559736815594214e+00, 0.000000000000000000e+00, -2.385526763603466327e-01, 0.000000000000000000e+00, 4.134663504172014781e-01
2.815079593916622880e+00, 0.000000000000000000e+00, -2.528572733247708149e-01, 0.000000000000000000e+00, 5.841612375912467181e-01
2.408796814058526969e+00, 0.000000000000000000e+00, -2.650271328717164754e-01, 0.000000000000000000e+00, 7.836633902842906618e-01
1.968082797947639406e+00, 0.000000000000000000e+00, -2.714456486314082984e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
1.527337621162152548e+00, 0.000000000000000000e+00, -2.683999705637204469e-01, 0.000000000000000000e+00, 1.216336609715709338e+00
1.121155602866321432e+00, 0.000000000000000000e+00, -2.536624270950528226e-01, 0.000000000000000000e+00, 1.415838762408753171e+00
7.743776151965250376e-01, 0.000000000000000000e+00, -2.276819561343207399e-01, 0.000000000000000000e+00, 1.586533649582798411e+00
4.975763064448412987e-01, 0.000000000000000000e+00, -1.931384826511556851e-01, 0.000000000000000000e+00, 1.723464124463156111e+00
2.889496005556012048e-01, 0.000000000000000000e+00, -1.532632660567599392e-01, 0.000000000000000000e+00, 1.827739635619072267e+00
1.397468110132089880e-01, 0.000000000000000000e+00, -1.099066359800092429e-01, 0.000000000000000000e+00, 1.904044169930654951e+00
4.082055639212748416e-02, 0.000000000000000000e+00, -6.141750610784450781e-02, 0.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
4.649326230523903591e-02, 0.000000000000000000e+00, 5.724337901352397062e-02, 0.000000000000000000e+00, 2.041733119767888294e+00
1.495939468716805387e-01, 0.000000000000000000e+00, 9.607440283528355385e-02, 0.000000000000000000e+00, 2.095955830069344827e+00
3.022522747891015493e-01, 0.000000000000000000e+00, 1.250002510735053196e-01, 0.000000000000000000e+00, 2.172260364380927733e+00
5.137314154709579084e-01, 0.000000000000000000e+00, 1.447918746832395631e-01, 0.000000000000000000e+00, 2.276535875536843889e+00
7.925656382783368148e-01, 0.000000000000000000e+00, 1.527726189048877470e-01, 0.000000000000000000e+00, 2.413466350417201589e+00
1.140240558150428463e+00, 0.000000000000000000e+00, 1.455540528707234549e-01, 0.000000000000000000e+00, 2.584161237591246607e+00
1.545976093527164696e+00, 0.000000000000000000e+00, 1.214770408692557035e-01, 0.000000000000000000e+00, 2.783663390284290440e+00
1.985001830847584969e+00, 0.000000000000000000e+00, 8.246436363705711425e-02, 0.000000000000000000e+00, 3.000000000000000000e+00
2.423093721855656746e+00, 0.000000000000000000e+00, 3.403362573109101896e-02, 0.000000000000000000e+00, 3.216336609715709116e+00
2.826362753234135994e+00, 0.000000000000000000e+00, -1.683769253054411344e-02, 0.000000000000000000e+00, 3.415838762408752949e+00
3.170893670588331048e+00, 0.000000000000000000e+00, -6.422459146349571157e-02, 0.000000000000000000e+00, 3.586533649582798411e+00
3.446944260340595534e+00, 0.000000000000000000e+00, -1.045676710045091995e-01, 0.000000000000000000e+00, 3.723464124463156111e+00
3.656959741153049670e+00, 0.000000000000000000e+00, -1.366500341742005187e-01, 0.000000000000000000e+00, 3.827739635619072267e+00
3.810521563212461160e+00, 0.000000000000000000e+00, -1.608921078653589021e-01, 0.000000000000000000e+00, 3.904044169930655173e+00
3.919578653880232189e+00, 0.000000000000000000e+00, -1.785276164873862703e-01, 0.000000000000000000e+00, 3.958266880232111262e+00
3.995436986665517942e+00, 0.000000000000000000e+00, -1.910059831135281772e-01, 0.000000000000000000e+00, 4.000000000000000000e+00
3.979655010568189155e+00, 4.000000000000000222e-01, -1.902515094802297579e-01, 2.000000000000000111e-01, 0.000000000000000000e+00
3.903255236913414805e+00, 4.000000000000000222e-01, -1.954160554712334741e-01, 2.000000000000000111e-01, 4.173311976788848798e-02
3.793448625013240427e+00, 4.000000000000000222e-01, -2.025394926244488136e-01, 2.000000000000000111e-01, 9.595583006934514658e-02
3.638887495995281274e+00, 4.000000000000000222e-01, -2.119846725416846267e-01, 2.000000000000000111e-01, 1.722603643809275942e-01
3.427607172445951367e+00, 4.000000000000000222e-01, -2.238394882593002511e-01, 2.000000000000000111e-01, 2.765358755368439447e-01
3.150067625855172970e+00, 4.000000000000000222e-01, -2.376103932887232983e-01, 2.000000000000000111e-01, 4.134663504172014781e-01
2.803960029520652153e+00, 4.000000000000000222e-01, -2.518584870951379728e-01, 2.000000000000000111e-01, 5.841612375912467181e-01
2.399282066642995925e+00, 4.000000000000000222e-01, -2.639802756968732123e-01, 2.000000000000000111e-01, 7.836633902842906618e-01
1.960308870895746347e+00, 4.000000000000000222e-01, -2.703734383193142632e-01, 2.000000000000000111e-01, 1.000000000000000000e+00
1.521304637558561934e+00, 4.000000000000000222e-01, -2.673397906799938051e-01, 2.000000000000000111e-01, 1.216336609715709338e+00
1.116727038234999636e+00, 4.000000000000000222e-01, -2.526604605080273735e-01, 2.000000000000000111e-01, 1.415838762408753171e+00
7.713188236164988387e-01, 4.000000000000000222e-01, -2.267826124075901506e-01, 2.000000000000000111e-01, 1.586533649582798411e+00
4.956108800343841936e-01, 4.000000000000000222e-01, -1.923755856446836277e-01, 2.000000000000000111e-01, 1.723464124463156111e+00
2.878082496334066209e-01, 4.000000000000000222e-01, -1.526578761558357589e-01, 2.000000000000000111e-01, 1.827739635619072267e+00
1.391948111097068286e-01, 4.000000000000000222e-01, -1.094725047678881957e-01, 2.000000000000000111e-01, 1.904044169930654951e+00
4.065931519437859104e-02, 4.000000000000000222e-01, -6.117490695871852235e-02, 2.000000000000000111e-01, 1.958266880232111484e+00
0.000000000000000000e+00, 4.000000000000000222e-01, 0.000000000000000000e+00, 2.000000000000000111e-01, 2.000000000000000000e+00
4.630961391913333836e-02, 4.000000000000000222e-01, 5.701726766642055411e-02, 2.000000000000000111e-01, 2.041733119767888294e+00
1.490030507815374161e-01, 4.000000000000000222e-01, 9.569490894408418102e-02, 2.000000000000000111e-01, 2.095955830069344827e+00
3.010583783036845928e-01, 4.000000000000000222e-01, 1.245065000817649759e-01, 2.000000000000000111e-01, 2.172260364380927733e+00
5.117021763798477174e-01, 4.000000000000000222e-01, 1.442199467782407651e-01, 2.000000000000000111e-01, 2.276535875536843889e+00
7.894350040071373975e-01, 4.000000000000000222e-01, 1.521691670602134394e-01, 2.000000000000000111e-01, 2.413466350417201589e+00
1.135736607945734278e+00, 4.000000000000000222e-01, 1.449791143618840983e-01, 2.000000000000000111e-01, 2.584161237591246607e+00
1.539869487957732597e+00, 4.000000000000000222e-01, 1.209972065578221456e-01, 2.000000000000000111e-01, 2.783663390284290440e+00
1.977161073615737230e+00, 4.000000000000000222e-01, 8.213862940069074914e-02, 2.000000000000000111e-01, 3.000000000000000000e+00
2.413522501654327357e+00, 4.000000000000000222e-01, 3.389919290945321573e-02, 2.000000000000000111e-01, 3.216336609715709116e+00
2.815198620358861259e+00, 4.000000000000000222e-01, -1.677118364504846457e-02, 2.000000000000000111e-01, 3.415838762408752949e+00
3.158368640589507059e+00, 4.000000000000000222e-01, -6.397090432721490305e-02, 2.000000000000000111e-01, 3.586533649582798411e+00
3.433328830512250462e+00, 4.000000000000000222e-01, -1.041546287040414076e-01, 2.000000000000000111e-01, 3.723464124463156111e+00
3.642514750175496197e+00, 4.000000000000000222e-01, -1.361102665392124877e-01, 2.000000000000000111e-01, 3.827739635619072267e+00
3.795470003037774376e+00, 4.000000000000000222e-01, -1.602565840392908558e-01, 2.000000000000000111e-01, 3.904044169930655173e+00
3.904096318197407101e+00, 4.000000000000000222e-01, -1.778224324022611713e-01, 2.000000000000000111e-01, 3.958266880232111262e+00
3.979655010568189155e+00, 4.000000000000000222e-01, -1.902515094802297579e-01, 2.000000000000000111e-01, 4.000000000000000000e+00
3.963873034470860368e+00, 8.000000000000000444e-01, -1.894970358469313110e-01, 4.000000000000000222e-01, 0.000000000000000000e+00
3.887776236676672603e+00, 8.000000000000000444e-01, -1.946411009818892479e-01, 4.000000000000000222e-01, 4.173311976788848798e-02
3.778405080945371530e+00, 8.000000000000000444e-01, -2.017362889741636800e-01, 4.000000000000000222e-01, 9.595583006934514658e-02
3.624456889490406120e+00, 8.000000000000000444e-01, -2.111440124778930505e-01, 4.000000000000000222e-01, 1.722603643809275942e-01
3.414014432793161191e+00, 8.000000000000000444e-01, -2.229518159751535944e-01, 4.000000000000000222e-01, 2.765358755368439447e-01
3.137575514894750839e+00, 8.000000000000000444e-01, -2.366681102170999085e-01, 4.000000000000000222e-01, 4.134663504172014781e-01
2.792840465124681870e+00, 8.000000000000000444e-01, -2.508597008655051308e-01, 4.000000000000000222e-01, 5.841612375912467181e-01
2.389767319227464437e+00, 8.000000000000000444e-01, -2.629334185220298936e-01, 4.000000000000000222e-01, 7.836633902842906618e-01
1.952534943843853066e+00, 8.000000000000000444e-01, -2.693012280072201725e-01, 4.000000000000000222e-01, 1.000000000000000000e+00
1.515271653954971320e+00, 8.000000000000000444e-01, -2.662796107962670522e-01, 4.000000000000000222e-01, 1.216336609715709338e+00
1.112298473603677618e+00, 8.000000000000000444e-01, -2.516584939210019245e-01, 4.000000000000000222e-01, 1.415838762408753171e+00
7.682600320364725288e-01, 8.000000000000000444e-01, -2.258832686808595613e-01, 4.000000000000000222e-01, 1.586533649582798411e+00
4.936454536239270885e-01, 8.000000000000000444e-01, -1.916126886382115702e-01, 4.000000000000000222e-01, 1.723464124463156111e+00
2.866668987112119815e-01, 8.000000000000000444e-01, -1.520524862549115508e-01, 4.000000000000000222e-01, 1.827739635619072267e+00
1.386428112062046414e-01, 8.000000000000000444e-01, -1.090383735557671624e-01, 4.000000000000000222e-01, 1.904044169930654951e+00
4.049807399662968405e-02, 8.000000000000000444e-01, -6.093230780959253690e-02, 4.000000000000000222e-01, 1.958266880232111484e+00
0.000000000000000000e+00, 8.000000000000000444e-01, 0.000000000000000000e+00, 4.000000000000000222e-01, 2.000000000000000000e+00
4.612596553302764774e-02, 8.000000000000000444e-01, 5.679115631931713759e-02, 4.000000000000000222e-01, 2.041733119767888294e+00
1.484121546913942657e-01, 8.000000000000000444e-01, 9.531541505288479432e-02, 4.000000000000000222e-01, 2.095955830069344827e+00
2.998644818182676364e-01, 8.000000000000000444e-01, 1.240127490900246182e-01, 4.000000000000000222e-01, 2.172260364380927733e+00
5.096729372887373044e-01, 8.000000000000000444e-01, 1.436480188732419672e-01, 4.000000000000000222e-01, 2.276535875536843889e+00
7.863043697359377582e-01, 8.000000000000000444e-01, 1.515657152155391318e-01, 4.000000000000000222e-01, 2.413466350417201589e+00
1.131232657741040093e+00, 8.000000000000000444e-01, 1.444041758530447139e-01, 4.000000000000000222e-01, 2.584161237591246607e+00
1.533762882388300053e+00, 8.000000000000000444e-01, 1.205173722463885877e-01, 4.000000000000000222e-01, 2.783663390284290440e+00
1.969320316383889047e+00, 8.000000000000000444e-01, 8.181289516432435627e-02, 4.000000000000000222e-01, 3.000000000000000000e+00
2.403951281452997080e+00, 8.000000000000000444e-01, 3.376476008781541249e-02, 4.000000000000000222e-01, 3.216336609715709116e+00
2.804034487483586080e+00, 8.000000000000000444e-01, -1.670467475955281222e-02, 4.000000000000000222e-01, 3.415838762408752949e+00
3.145843610590683070e+00, 8.000000000000000444e-01, -6.371721719093408065e-02, 4.000000000000000222e-01, 3.586533649582798411e+00
3.419713400683904947e+00, 8.000000000000000444e-01, -1.037415864035735880e-01, 4.000000000000000222e-01, 3.723464124463156111e+00
3.628069759197942723e+00, 8.000000000000000444e-01, -1.355704989042244291e-01, 4.000000000000000222e-01, 3.827739635619072267e+00
3.780418442863087591e+00, 8.000000000000000444e-01, -1.596210602132227541e-01, 4.000000000000000222e-01, 3.904044169930655173e+00
3.888613982514581568e+00, 8.000000000000000444e-01, -1.771172483171360723e-01, 4.000000000000000222e-01, 3.958266880232111262e+00
3.963873034470860368e+00, 8.000000000000000444e-01, -1.894970358469313110e-01, 4.000000000000000222e-01, 4.000000000000000000e+00
3.948091058373531137e+00, 1.199999999999999956e+00, -1.887425622136328640e-01, 5.999999999999999778e-01, 0.000000000000000000e+00
3.872297236439931289e+00, 1.199999999999999956e+00, -1.938661464925450217e-01, 5.999999999999999778e-01, 4.173311976788848798e-02
3.763361536877503966e+00, 1.199999999999999956e+00, -2.009330853238786019e-01, 5.999999999999999778e-01, 9.595583006934514658e-02
3.610026282985531854e+00, 1.199999999999999956e+00, -2.103033524141014743e-01, 5.999999999999999778e-01, 1.722603643809275942e-01
3.400421693140371016e+00, 1.199999999999999956e+00, -2.220641436910069655e-01, 5.999999999999999778e-01, 2.765358755368439447e-01
3.125083403934329596e+00, 1.199999999999999956e+00, -2.357258271454765186e-01, 5.999999999999999778e-01, 4.134663504172014781e-01
2.781720900728711143e+00, 1.199999999999999956e+00, -2.498609146358723165e-01, 5.999999999999999778e-01, 5.841612375912467181e-01
2.380252571811933393e+00, 1.199999999999999956e+00, -2.618865613471866305e-01, 5.999999999999999778e-01, 7.836633902842906618e-01
1.944761016791959785e+00, 1.199999999999999956e+00, -2.682290176951261373e-01, 5.999999999999999778e-01, 1.000000000000000000e+00
1.509238670351380929e+00, 1.199999999999999956e+00, -2.652194309125404104e-01, 5.999999999999999778e-01, 1.216336609715709338e+00
1.107869908972355599e+00, 1.199999999999999956e+00, -2.506565273339764754e-01, 5.999999999999999778e-01, 1.415838762408753171e+00
7.652012404564462189e-01, 1.199999999999999956e+00, -2.249839249541289721e-01, 5.999999999999999778e-01, 1.586533649582798411e+00
4.916800272134699279e-01, 1.199999999999999956e+00, -1.908497916317394849e-01, 5.999999999999999778e-01, 1.723464124463156111e+00
2.855255477890173976e-01, 1.199999999999999956e+00, -1.514470963539873427e-01, 5.999999999999999778e-01, 1.827739635619072267e+00
1.380908113027024542e-01, 1.199999999999999956e+00, -1.086042423436461152e-01, 5.999999999999999778e-01, 1.904044169930654951e+00
4.033683279888078399e-02, 1.199999999999999956e+00, -6.068970866046655144e-02, 5.999999999999999778e-01, 1.958266880232111484e+00
0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00, 5.999999999999999778e-01, 2.000000000000000000e+00
4.594231714692195018e-02, 1.199999999999999956e+00, 5.656504497221370720e-02, 5.999999999999999778e-01, 2.041733119767888294e+00
1.478212586012511431e-01, 1.199999999999999956e+00, 9.493592116168542150e-02, 5.999999999999999778e-01, 2.095955830069344827e+00
2.986705853328506799e-01, 1.199999999999999956e+00, 1.235189980982842745e-01, 5.999999999999999778e-01, 2.172260364380927733e+00
5.076436981976270024e-01, 1.199999999999999956e+00, 1.430760909682431692e-01, 5.999999999999999778e-01, 2.276535875536843889e+00
7.831737354647383409e-01, 1.199999999999999956e+00, 1.509622633708648243e-01, 5.999999999999999778e-01, 2.413466350417201589e+00
1.126728707536345908e+00, 1.199999999999999956e+00, 1.438292373442053296e-01, 5.999999999999999778e-01, 2.584161237591246607e+00
1.527656276818867731e+00, 1.199999999999999956e+00, 1.200375379349550020e-01, 5.999999999999999778e-01, 2.783663390284290440e+00
1.961479559152041308e+00, 1.199999999999999956e+00, 8.148716092795796340e-02, 5.999999999999999778e-01, 3.000000000000000000e+00
2.394380061251667247e+00, 1.199999999999999956e+00, 3.363032726617760926e-02, 5.999999999999999778e-01, 3.216336609715709116e+00
